date,texto,ville,cents,vente,price,link,pagenr,lastseen,chambres,annee,chauss,m2,terrasse,garage,cave,jardin,etage,ground,indexscore,chambre
Fri May 07 23:39:31 2021,"
Maison à vendre à LUXEMBOURG-CESSANGE
1HFVD
",TRUE,FALSE,TRUE,2 644 000,https://www.immotop.lu/properties/new/house/2493337,237,,6,-1,1,287. C,0,0,0,0,2,0,0.3,6
Fri May 07 23:39:31 2021,"
Maison à vendre à LUXEMBOURG-CESSANGE
1HFVA
",TRUE,FALSE,TRUE,2 540 000,https://www.immotop.lu/properties/new/house/2493334,237,,5,-1,1,290. C,0,0,0,0,2,0,0.3,5
Fri May 07 23:39:33 2021,"
Nouvelle construction à vendre à LUXEMBOURG-CESSANGE
1HFSM
",TRUE,FALSE,TRUE,2 644 000,https://www.immotop.lu/properties/new/residence/new-construction/2493238,240,,NA,-1,1,NA,0,0,0,0,-1,0,0.3,-1
Fri May 07 23:39:33 2021,"
Nouvelle construction à vendre à LUXEMBOURG-CESSANGE
1HFSG
",TRUE,FALSE,TRUE,2 540 000,https://www.immotop.lu/properties/new/residence/new-construction/2493232,240,,NA,-1,1,NA,0,0,0,0,-1,0,0.3,-1
Fri May 07 23:41:07 2021,"
Maison à vendre à LUXEMBOURG-DOMMELDANGE
1HEI7
",TRUE,FALSE,TRUE,1 900 000,https://www.immotop.lu/properties/used/house/2491567,359,,4,1990,1,275. C,0,0,0,0,-1,0,0.3,4
Fri May 07 23:39:09 2021,"
Maison jumelée à vendre à LUXEMBOURG-BONNEVOIE
1HGJ4
",TRUE,FALSE,TRUE,1 390 000,https://www.immotop.lu/properties/used/house/semi-detached-house/2494192,209,,5,1932,0,185. C,0,1,0,0,2,0,0.25000000000000006,5
Fri May 07 23:39:24 2021,"
Maison à vendre à LUXEMBOURG-BELAIR
1HG3A
",TRUE,FALSE,TRUE,4 194 160,https://www.immotop.lu/properties/new/house/2493622,229,,1,-1,0,266.2.,0,0,0,0,-1,0,0.20000000000000007,1
Fri May 07 23:39:26 2021,"
Maison à vendre à LUXEMBOURG-BELAIR
1HG2G
",TRUE,FALSE,TRUE,5 489 900,https://www.immotop.lu/properties/new/house/2493592,230,,9,-1,0,348.3.,0,0,0,0,-1,0,0.20000000000000007,9
Fri May 07 23:40:17 2021,"
Résidence à vendre à LUXEMBOURG-GASPERICH
1HEOM
",TRUE,FALSE,TRUE,de 395 792  à 1 798 893,https://www.immotop.lu/properties/new/residence/2491798,290,,NA,-1,0,NA,0,0,0,0,-1,0,0.20000000000000007,-1
Fri May 07 23:40:18 2021,"
Résidence à vendre à LUXEMBOURG-GASPERICH
1HENA
",TRUE,FALSE,TRUE,de 643 824  à 1 768 701,https://www.immotop.lu/properties/new/residence/2491750,291,,NA,-1,0,NA,0,0,0,0,-1,0,0.20000000000000007,-1
Fri May 07 23:41:09 2021,"
Appartement à vendre à LUXEMBOURG-LIMPERTSBERG
1HEEG
",TRUE,FALSE,TRUE,1 450 000,https://www.immotop.lu/properties/new/apartment/2491432,361,,2,-1,0,79. Ch,0,0,0,0,1,0,0.20000000000000007,2
Fri May 07 23:39:19 2021,"
Maison à vendre à LUXEMBOURG-BELAIR
1HG5V
",TRUE,FALSE,TRUE,4 113 820,https://www.immotop.lu/properties/new/house/2493715,224,,5,2021,0,263.2.,0,0,0,0,-1,0,0.10000000000000003,5
Fri May 07 23:39:24 2021,"
Maison à vendre à LUXEMBOURG-BELAIR
1HG3G
",TRUE,FALSE,TRUE,4 191 070,https://www.immotop.lu/properties/new/house/2493628,229,,5,2021,0,266.2.,0,0,0,0,-1,0,0.10000000000000003,5
Fri May 07 23:39:26 2021,"
Appartement à vendre à LUXEMBOURG-GASPERICH
1HG21
",TRUE,FALSE,TRUE,1 040 000,https://www.immotop.lu/properties/used/apartment/2493577,230,,NA,2006,0,101.75,0,0,0,0,3,0,0.10000000000000003,-1
